data_size(MB),time(ms)
30,0.526
20,0.404
40,0.694
60,0.948
80,1.234
320,4.460
360,5.015
480,6.596
100,1.915
400,7.029
50,1.036
160,2.307
190,3.627
240,3.392
10,0.258
200,3.629
70,1.099
15,0.317
35,0.792
105,1.522
120,1.728
5,0.178
25,0.461
55,1.178
7,0.202
27,0.641
62,0.993
2,0.151
22,0.537
57,1.250
37,0.636
47,1.052
17,0.351
640,8.810
720,9.920
960,13.242
800,13.972
380,5.234
140,2.021
210,2.967
110,2.188
125,1.816
45,0.743
115,2.306
75,1.208
95,1.926
1280,17.773
1440,19.968
1920,26.880
1600,29.282
760,10.461
280,3.873
420,5.783
220,4.179
250,3.527
90,1.350
230,4.380
150,2.153
2560,36.106
2880,40.583
3840,54.189
3200,58.555
1520,21.186
560,7.703
840,11.563
440,8.247
500,6.900
180,2.566
460,8.493
300,4.152
