op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,5062.162,6708.926,18.375,343.000,0.126,344.000,688.000,0.000
bn1,1523.049,2491.554,343.000,343.000,0.002,344.002,0.000,688.000
relu1,879.302,1315.277,343.000,343.000,0.000,344.000,0.000,688.000
maxpool,811.486,3726.923,343.000,85.750,0.000,258.000,0.000,430.000
block-0-0-conv1,839.963,3000.687,85.750,171.500,0.191,86.000,0.000,430.000
block-0-0-bn1,360.417,594.698,171.500,171.500,0.002,86.002,0.000,172.000
block-0-0-conv2,4527.308,11121.097,171.500,257.250,3.445,172.000,594.000,594.000
block-0-0-bn2,719.750,1180.910,257.250,257.250,0.003,172.004,0.000,344.000
block-0-0-conv3,6074.319,14290.386,257.250,428.750,1.531,344.000,0.000,862.000
block-0-0-bn3,1427.737,2384.659,428.750,428.750,0.007,344.007,0.000,688.000
block-0-0-downsample,5815.028,10405.866,428.750,343.000,0.766,688.007,343.993,518.000
block-0-0-relu,879.276,1314.580,343.000,343.000,0.000,344.000,0.000,688.000
block-0-1-conv1,3104.527,10677.482,343.000,428.750,0.766,86.000,0.000,1462.000
block-0-1-bn1,360.417,594.698,428.750,428.750,0.002,86.002,0.000,172.000
block-0-1-conv2,4527.308,11121.097,428.750,514.500,3.445,172.000,594.000,594.000
block-0-1-bn2,719.750,1180.910,514.500,514.500,0.003,172.004,0.000,344.000
block-0-1-conv3,6074.319,14290.386,514.500,686.000,1.531,344.000,0.000,862.000
block-0-1-bn3,1427.737,2384.659,686.000,686.000,0.007,344.007,0.000,688.000
block-0-1-downsample,1314.136,51.051,686.000,343.000,0.000,344.000,0.000,344.000
block-0-1-relu,879.276,1314.580,343.000,343.000,0.000,344.000,0.000,688.000
block-0-2-conv1,3104.527,10677.482,343.000,428.750,0.766,86.000,0.000,1462.000
block-0-2-bn1,360.417,594.698,428.750,428.750,0.002,86.002,0.000,172.000
block-0-2-conv2,4527.308,11121.097,428.750,514.500,3.445,172.000,594.000,594.000
block-0-2-bn2,719.750,1180.910,514.500,514.500,0.003,172.004,0.000,344.000
block-0-2-conv3,6074.319,14290.386,514.500,686.000,1.531,344.000,0.000,862.000
block-0-2-bn3,1427.737,2384.659,686.000,686.000,0.007,344.007,0.000,688.000
block-0-2-downsample,1314.136,51.051,686.000,343.000,0.000,344.000,0.000,344.000
block-0-2-relu,879.276,1314.580,343.000,343.000,0.000,344.000,0.000,688.000
block-1-0-conv1,6069.074,17098.650,343.000,514.500,1.531,171.500,0.000,1550.000
block-1-0-bn1,719.750,1180.910,514.500,514.500,0.003,172.004,0.000,344.000
block-1-0-conv2,12997.262,30847.753,514.500,428.750,13.781,85.750,0.000,602.000
block-1-0-bn2,369.160,615.634,428.750,428.750,0.007,86.007,0.000,172.000
block-1-0-conv3,6077.762,12817.975,428.750,514.500,6.125,172.000,0.000,546.000
