op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,9201.027,4496.998,18.375,490.000,0.045,490.000,620.000,490.000
bn1,2207.720,3805.950,490.000,490.000,0.002,490.003,0.000,980.000
relu1,1254.869,1877.062,490.000,490.000,0.000,490.000,0.000,980.000
maxpool,1156.615,4993.535,490.000,122.500,0.000,368.500,1.500,614.000
block-0-0-conv1,2640.575,4535.348,122.500,245.000,0.098,122.500,161.500,496.000
block-0-0-bn1,609.807,928.805,245.000,245.000,0.002,122.503,1.497,248.000
block-0-0-conv2,50589.204,39599.938,245.000,2082.500,14.062,1960.000,2906.000,1960.000
block-0-0-bn2,8143.609,14485.253,2082.500,2082.500,0.039,1960.039,0.000,3920.000
block-0-0-conv3,32675.469,118549.217,2082.500,612.500,6.250,490.000,0.000,3928.000
block-0-0-bn3,2110.171,3455.000,612.500,612.500,0.010,490.010,0.000,980.000
block-0-0-downsample,13494.405,11357.076,612.500,490.000,0.391,980.010,1109.990,490.000
block-0-0-relu,1306.010,1876.432,490.000,490.000,0.000,490.000,0.000,980.000
block-0-1-conv1,4196.227,22806.910,490.000,612.500,0.391,122.500,161.500,1594.000
block-0-1-bn1,609.807,928.805,612.500,612.500,0.002,122.503,1.497,248.000
block-0-1-conv2,50589.204,39599.938,612.500,2450.000,14.062,1960.000,2906.000,1960.000
block-0-1-bn2,8143.609,14485.253,2450.000,2450.000,0.039,1960.039,0.000,3920.000
block-0-1-conv3,32675.469,118549.217,2450.000,980.000,6.250,490.000,0.000,3928.000
block-0-1-bn3,2110.171,3455.000,980.000,980.000,0.010,490.010,0.000,980.000
block-0-1-downsample,1946.548,46.117,980.000,490.000,0.000,490.000,0.000,490.000
block-0-1-relu,1306.010,1876.432,490.000,490.000,0.000,490.000,0.000,980.000
block-0-2-conv1,4196.227,22806.910,490.000,612.500,0.391,122.500,161.500,1594.000
block-0-2-bn1,609.807,928.805,612.500,612.500,0.002,122.503,1.497,248.000
block-0-2-conv2,50589.204,39599.938,612.500,2450.000,14.062,1960.000,2906.000,1960.000
block-0-2-bn2,8143.609,14485.253,2450.000,2450.000,0.039,1960.039,0.000,3920.000
block-0-2-conv3,32675.469,118549.217,2450.000,980.000,6.250,490.000,0.000,3928.000
