data_size(MB),time(ms)
12,0.273
8,0.214
16,0.329
24,0.451
32,0.558
256,3.615
272,3.792
384,5.299
40,0.694
400,7.029
20,0.404
128,1.857
140,2.021
192,2.707
4,0.165
200,3.629
144,2.083
28,0.634
6,0.189
14,0.368
64,1.009
74,1.159
96,1.417
2,0.151
10,0.258
100,1.915
80,1.234
22,0.537
3,0.169
11,0.358
41,0.684
48,0.816
1,0.139
9,0.237
50,1.036
23,0.535
15,0.317
19,0.480
7,0.202
512,7.091
544,7.523
768,10.583
800,13.972
280,3.873
288,3.994
56,1.157
148,2.150
160,2.307
44,0.995
82,1.263
18,0.355
46,0.962
30,0.526
38,0.847
1024,14.189
1088,15.029
1536,21.361
1600,29.282
560,7.703
576,7.950
112,2.090
296,4.103
320,4.460
88,1.779
164,2.340
36,0.617
92,1.747
60,0.948
76,1.557
2048,28.722
2176,30.463
3072,43.317
3200,58.555
1120,15.478
1152,15.931
224,3.193
592,8.193
640,8.810
176,3.187
328,4.572
72,1.121
184,3.309
120,1.728
152,2.941
