op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,13488.349,17183.092,36.750,980.000,0.179,980.000,1960.000,0.000
bn1,4508.451,7681.104,980.000,980.000,0.002,980.003,0.000,1960.000
relu1,2506.490,3750.904,980.000,980.000,0.000,980.000,0.000,1960.000
maxpool,2305.087,10589.405,980.000,245.000,0.000,736.000,0.000,1226.000
block-0-0-conv1,3132.625,10862.608,245.000,490.000,0.391,246.000,0.000,1230.000
block-0-0-bn1,1067.386,1863.040,490.000,490.000,0.002,246.003,0.000,492.000
block-0-0-conv2,139988.511,524652.352,490.000,4165.000,56.250,3920.000,9690.000,9690.000
block-0-0-bn2,16583.560,28997.349,4165.000,4165.000,0.039,3920.039,0.000,7840.000
block-0-0-conv3,191131.867,416470.766,4165.000,1225.000,25.000,980.000,0.000,12766.000
block-0-0-bn3,4216.018,6980.547,1225.000,1225.000,0.010,980.010,0.000,1960.000
block-0-0-downsample,19544.216,34697.406,1225.000,980.000,1.562,1960.010,979.990,1474.000
block-0-0-relu,2506.527,3748.683,980.000,980.000,0.000,980.000,0.000,1960.000
block-0-1-conv1,12276.756,43043.742,980.000,1225.000,1.562,246.000,0.000,4166.000
block-0-1-bn1,1067.386,1863.040,1225.000,1225.000,0.002,246.003,0.000,492.000
block-0-1-conv2,139988.511,524652.352,1225.000,4900.000,56.250,3920.000,9690.000,9690.000
block-0-1-bn2,16583.560,28997.349,4900.000,4900.000,0.039,3920.039,0.000,7840.000
block-0-1-conv3,191131.867,416470.766,4900.000,1960.000,25.000,980.000,0.000,12766.000
block-0-1-bn3,4216.018,6980.547,1960.000,1960.000,0.010,980.010,0.000,1960.000
block-0-1-downsample,3748.381,45.980,1960.000,980.000,0.000,980.000,0.000,980.000
block-0-1-relu,2506.527,3748.683,980.000,980.000,0.000,980.000,0.000,1960.000
block-0-2-conv1,12276.756,43043.742,980.000,1225.000,1.562,246.000,0.000,4166.000
