data_size(MB),time(ms)
16,0.932
10,0.612
20,1.781
30,1.658
40,2.215
256,13.706
276,14.750
384,20.552
15,0.876
50,4.289
400,33.028
25,1.401
128,6.860
143,7.672
192,10.288
5,0.344
200,16.567
148,7.891
35,3.089
7,0.451
17,1.044
64,3.487
76,4.246
96,5.191
2,0.177
12,0.726
100,8.427
84,4.541
27,2.414
4,0.297
13,0.778
32,1.755
43,2.377
48,2.626
1,0.127
11,0.715
52,2.862
28,2.446
18,1.051
23,2.032
8,0.518
60,3.260
80,4.314
512,27.513
552,29.691
768,41.589
800,65.655
286,15.316
296,15.889
70,3.820
153,8.216
168,8.998
55,4.673
86,4.668
22,1.320
104,5.598
57,4.900
37,2.066
47,2.695
120,6.463
160,8.557
1024,56.617
1104,1000000000.000
1536,1000000000.000
1600,1000000000.000
572,30.823
592,31.967
140,7.528
306,16.343
336,18.024
110,9.191
173,9.245
45,2.468
208,11.106
115,9.647
75,4.067
95,5.299
240,12.858
320,17.112
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
3200,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,14.945
612,32.976
672,36.229
220,18.211
346,18.493
90,4.862
416,22.249
230,19.049
150,8.051
190,10.597
