data_size(MB),time(ms)
6,0.294
4,0.218
8,0.423
12,0.532
16,0.709
128,4.861
136,5.120
192,7.145
20,1.236
1,0.144
5,0.247
3,0.171
14,0.588
9,0.398
32,1.266
41,1.611
48,1.883
60,3.594
7,0.322
10,0.436
64,2.481
70,2.684
96,3.653
2,0.129
0,0.072
23,0.932
24,0.965
30,1.823
37,1.455
256,9.459
272,9.991
384,13.946
40,2.434
11,0.710
28,1.114
18,0.737
82,3.146
120,7.004
13,0.550
140,5.271
19,0.775
46,1.800
74,2.850
512,18.537
544,19.623
768,27.558
80,4.730
22,1.355
56,2.166
36,1.415
164,6.126
240,13.580
280,10.260
26,1.039
38,1.491
92,3.502
148,5.555
29,1.152
21,0.851
1024,36.713
1088,38.916
1536,54.921
160,9.230
44,2.653
112,4.238
72,2.763
328,11.989
478,26.631
560,20.224
52,2.014
76,2.909
184,6.847
296,10.818
58,2.241
42,1.665
43,1.676
49,1.902
