data_size(MB),time(ms)
12,0.246
8,0.216
16,0.307
24,0.428
32,0.551
256,4.022
272,4.271
384,6.010
40,1.427
400,12.518
20,0.369
128,2.035
140,2.216
192,3.025
4,0.137
200,6.356
144,2.281
28,1.066
6,0.177
14,0.303
64,1.042
74,1.224
96,1.536
2,0.096
10,0.242
100,3.291
80,1.289
22,0.424
3,0.135
11,0.242
41,0.726
48,0.814
1,0.087
9,0.241
50,1.675
23,0.426
15,0.304
19,0.706
7,0.213
512,7.989
544,8.482
768,11.941
800,24.575
280,4.394
288,4.518
56,1.909
148,2.342
160,2.529
44,0.787
82,1.339
18,0.364
46,0.789
30,0.576
38,1.308
1024,15.899
1088,16.885
1536,23.806
1600,49.349
560,8.736
576,8.977
112,3.604
296,4.651
320,5.020
88,1.462
164,2.586
36,0.611
92,1.524
60,0.979
76,2.493
2048,31.810
2176,1000000000.000
3072,1000000000.000
3200,1000000000.000
1120,17.422
1152,17.928
224,7.004
592,9.283
640,9.973
176,2.838
328,5.173
72,1.172
184,2.957
120,1.932
152,4.784
