data_size(MB),time(ms)
6,0.414
4,0.299
8,0.525
12,0.739
16,0.937
128,6.862
136,7.320
192,10.279
20,1.786
1,0.212
5,0.343
3,0.235
14,0.823
9,0.563
32,1.767
41,2.307
48,2.695
60,5.181
7,0.452
10,0.639
64,3.478
70,3.810
96,5.181
2,0.177
0,0.101
23,1.318
24,1.363
30,2.615
37,2.043
256,13.691
272,14.551
384,20.635
40,3.458
11,1.031
28,1.543
18,1.048
82,4.462
120,10.026
13,0.770
140,7.568
19,1.097
46,2.527
74,4.030
512,27.602
544,29.343
768,41.581
80,6.804
22,1.946
56,3.058
36,2.001
164,8.790
240,19.958
280,14.996
26,1.448
38,2.094
92,4.970
148,7.955
29,1.612
21,1.210
1024,56.837
1088,1000000000.000
1536,1000000000.000
160,13.347
44,3.777
112,6.036
72,3.947
328,17.622
478,39.233
560,30.202
52,2.835
76,4.124
184,9.830
296,15.825
58,3.169
42,2.308
43,2.356
49,2.676
