op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
encoder-embedding,866.907,1087.166,0.031,16.000,18.938,24.070,39.930,64.000
enc-1st-layernorm,55.690,202.725,16.000,32.000,0.000,16.062,0.000,128.000
enc-attention-qkv,3172.419,5581.548,32.000,208.000,24.000,192.000,192.000,700.000
enc-attention-score,3277.197,4330.096,208.000,1104.000,0.000,1024.000,1024.000,2240.000
enc-attention-softmax,3707.650,4003.189,1104.000,1104.000,0.000,1024.000,0.000,3072.000
enc-attention-dropout,3856.958,3294.288,1104.000,1104.000,0.000,1536.000,0.000,4096.000
enc-attention-context,2481.555,4820.192,1104.000,80.000,0.000,64.000,64.000,1216.000
enc-attention-dense,1198.043,1388.080,80.000,32.002,8.000,16.000,0.000,80.000
enc-post-attention-dropout,197.475,100.386,32.002,16.000,0.000,24.000,28.000,128.000
enc-2nd-layernorm,55.151,202.984,16.000,32.000,0.000,16.062,0.000,128.000
enc-MLP-GEMM-1,3512.638,5807.335,32.000,272.031,32.000,256.000,0.000,816.000
enc-MLP-gelu,714.290,1353.047,272.031,272.000,0.000,256.000,0.000,1104.000
enc-MLP-GEMM-2,3552.754,5764.762,272.000,32.002,32.000,16.000,0.000,304.000
enc-post-MLP-dropout,185.930,100.938,32.002,16.000,0.000,24.000,28.000,128.000
enc-final-layernorm,113.728,1599.476,16.000,16.000,0.000,32.062,0.000,64.000
decoder-embedding,537.186,64.514,16.000,20.000,18.938,22.021,0.000,68.000
dec-1st-layernorm,40.915,101.589,20.000,24.000,0.000,4.016,15.984,68.000
dec-attention-qkv-1,819.767,1553.587,24.000,68.000,24.000,48.000,48.000,300.000
dec-attention-score-1,242.863,464.727,68.000,100.000,0.000,64.000,64.000,224.000
dec-attention-softmax-1,140.939,171.984,100.000,100.000,0.000,64.000,0.000,224.000
dec-attention-dropout-1,243.802,209.727,100.000,100.000,0.000,96.000,0.000,304.000
dec-attention-context-1,255.655,403.187,100.000,36.000,0.000,16.000,16.000,160.000
dec-attention-dense-1,372.304,409.074,36.000,24.002,8.000,4.000,0.000,84.000
dec-post-attention-dropout-1,69.869,88.423,24.002,20.000,0.000,6.000,0.000,88.000
dec-2nd-layernorm,41.404,102.167,20.000,24.000,0.000,4.016,15.984,68.000
dec-attention-qkv-2,2357.239,4671.665,24.000,164.000,24.000,144.000,128.000,656.000
dec-attention-score-2,878.260,1415.589,164.000,340.000,0.000,256.000,256.000,768.000
dec-attention-softmax-2,883.210,1006.361,340.000,340.000,0.000,256.000,0.000,816.000
dec-attention-dropout-2,963.447,826.471,340.000,340.000,0.000,384.000,0.000,1072.000
dec-attention-context-2,671.090,1487.987,340.000,36.000,0.000,16.000,16.000,400.000
dec-attention-dense-2,378.125,408.819,36.000,24.002,8.000,4.000,0.000,84.000
dec-post-attention-dropout-2,69.473,82.455,24.002,20.000,0.000,6.000,0.000,88.000
dec-3rd-layernorm,38.127,96.383,20.000,24.000,0.000,4.016,15.984,68.000
dec-MLP-GEMM-1,875.574,1810.932,24.000,84.031,32.000,64.000,0.000,292.000
dec-MLP-gelu,182.141,361.226,84.031,84.000,0.000,64.000,0.000,384.000
dec-MLP-GEMM-2,958.328,1493.099,84.000,24.002,32.000,4.000,16.000,144.000
dec-post-MLP-dropout,69.530,87.891,24.002,20.000,0.000,6.000,0.000,88.000
dec-final-layernorm,63.963,1598.519,20.000,20.000,0.000,8.016,11.984,68.000
t5-post-process,1528.517,1407.157,4.000,0.000,14.938,60.025,29.975,84.000
