data_size(MB),time(ms)
172,9.208
171,9.168
128,6.935
42,2.383
85,4.629
86,4.801
214,11.450
344,28.309
257,13.760
343,18.310
21,1.895
107,8.959
22,1.303
10,1.009
53,4.584
64,3.626
43,3.434
5,0.544
26,1.497
32,2.665
0,0.104
108,5.798
366,30.106
258,19.635
44,2.413
27,2.393
65,5.118
16,1.514
13,1.232
96,8.134
194,10.374
354,19.696
48,4.181
24,2.164
54,4.668
12,1.073
91,7.656
182,15.121
349,19.252
45,3.926
23,1.363
49,4.285
8,0.771
11,1.014
428,23.012
688,56.516
514,27.562
686,36.950
430,23.032
730,59.897
516,39.289
386,20.654
710,58.223
193,16.052
698,38.992
385,20.664
643,34.584
1029,1000000000.000
771,42.682
321,17.829
160,12.234
192,16.022
80,6.292
1,0.225
17,0.991
322,17.841
1093,1000000000.000
774,57.779
81,4.550
40,3.199
290,21.993
578,32.185
1061,1000000000.000
644,48.999
144,12.071
72,5.553
36,3.117
274,22.630
546,41.460
1045,1000000000.000
580,44.062
136,11.403
289,22.013
68,5.794
34,2.998
857,47.528
1372,1000000000.000
858,47.546
1458,1000000000.000
515,27.651
429,23.054
1032,1000000000.000
772,42.689
1414,1000000000.000
860,65.157
728,40.323
1394,1000000000.000
