data_size(MB),time(ms)
3,0.169
2,0.151
4,0.165
6,0.189
8,0.214
64,1.009
68,1.077
96,1.417
10,0.258
400,7.029
5,0.178
32,0.558
35,0.792
48,0.816
1,0.139
200,3.629
36,0.617
7,0.202
16,0.329
18,0.355
24,0.451
0,0.119
100,1.915
20,0.404
12,0.273
50,1.036
128,1.857
136,1.963
192,2.707
800,13.972
70,1.099
72,1.121
14,0.368
37,0.636
40,0.694
11,0.358
9,0.237
256,3.615
272,3.792
384,5.299
1600,29.282
140,2.021
144,2.083
28,0.634
74,1.159
80,1.234
22,0.537
41,0.684
23,0.535
15,0.317
19,0.480
512,7.091
544,7.523
768,10.583
3200,58.555
280,3.873
288,3.994
56,1.157
148,2.150
160,2.307
44,0.995
82,1.263
46,0.962
30,0.526
38,0.847
