op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,8553.705,5037.737,18.375,343.000,0.063,344.000,516.000,344.000
bn1,1516.011,2507.995,343.000,343.000,0.002,344.002,0.000,688.000
relu1,879.376,1315.340,343.000,343.000,0.000,344.000,0.000,688.000
maxpool,811.248,3448.566,343.000,85.750,0.000,258.000,0.000,430.000
block-0-0-conv1,3132.875,3339.996,85.750,171.500,0.096,128.875,45.125,432.000
block-0-0-bn1,417.887,642.979,171.500,171.500,0.002,86.002,0.000,172.000
block-0-0-conv2,7541.074,8132.360,171.500,257.250,1.723,214.875,535.125,490.000
block-0-0-bn2,825.976,1197.395,257.250,257.250,0.003,172.004,0.000,344.000
block-0-0-conv3,12470.365,11040.699,257.250,428.750,0.766,430.000,86.000,690.000
block-0-0-bn3,1605.567,2550.979,428.750,428.750,0.007,344.007,0.000,688.000
block-0-0-downsample,13604.683,8121.233,428.750,343.000,0.383,730.882,389.118,388.000
block-0-0-relu,970.607,1314.853,343.000,343.000,0.000,344.000,0.000,688.000
block-0-1-conv1,4912.996,12046.285,343.000,428.750,0.383,257.750,86.250,1548.000
block-0-1-bn1,417.887,642.979,428.750,428.750,0.002,86.002,0.000,172.000
block-0-1-conv2,7541.074,8132.360,428.750,514.500,1.723,214.875,535.125,490.000
block-0-1-bn2,825.976,1197.395,514.500,514.500,0.003,172.004,0.000,344.000
block-0-1-conv3,12470.365,11040.699,514.500,686.000,0.766,430.000,86.000,690.000
block-0-1-bn3,1605.567,2550.979,686.000,686.000,0.007,344.007,0.000,688.000
block-0-1-downsample,1314.615,46.993,686.000,343.000,0.000,344.000,0.000,344.000
block-0-1-relu,970.607,1314.853,343.000,343.000,0.000,344.000,0.000,688.000
block-0-2-conv1,4912.996,12046.285,343.000,428.750,0.383,257.750,86.250,1548.000
block-0-2-bn1,417.887,642.979,428.750,428.750,0.002,86.002,0.000,172.000
block-0-2-conv2,7541.074,8132.360,428.750,514.500,1.723,214.875,535.125,490.000
block-0-2-bn2,825.976,1197.395,514.500,514.500,0.003,172.004,0.000,344.000
block-0-2-conv3,12470.365,11040.699,514.500,686.000,0.766,430.000,86.000,690.000
block-0-2-bn3,1605.567,2550.979,686.000,686.000,0.007,344.007,0.000,688.000
block-0-2-downsample,1314.615,46.993,686.000,343.000,0.000,344.000,0.000,344.000
block-0-2-relu,970.607,1314.853,343.000,343.000,0.000,344.000,0.000,688.000
block-1-0-conv1,8374.707,15622.140,343.000,514.500,0.766,344.000,0.000,1722.000
block-1-0-bn1,825.976,1197.395,514.500,514.500,0.003,172.004,0.000,344.000
block-1-0-conv2,9261.161,17977.287,514.500,428.750,6.891,171.750,0.000,516.000
block-1-0-bn2,402.955,679.996,428.750,428.750,0.007,86.007,0.000,172.000
