data_size(MB),time(ms)
16,0.335
10,0.253
20,0.402
30,0.564
40,0.716
256,4.081
276,4.404
384,6.074
15,0.331
50,1.538
400,10.831
25,0.497
128,2.102
143,2.330
192,3.087
5,0.171
200,5.543
148,2.424
35,1.098
7,0.202
17,0.373
64,1.114
76,1.330
96,1.620
2,0.126
12,0.297
100,2.812
84,1.407
27,0.871
4,0.250
13,0.311
32,0.590
43,0.767
48,0.841
1,0.096
11,0.262
52,0.917
28,0.948
18,0.385
23,0.765
8,0.233
60,1.037
80,1.348
512,8.071
552,8.740
768,12.057
800,21.576
286,4.545
296,4.718
70,2.108
153,2.480
168,2.713
55,1.705
86,1.465
22,0.443
104,1.737
57,1.759
37,0.686
47,1.459
120,1.964
160,2.653
1024,16.048
1104,1000000000.000
1536,1000000000.000
1600,1000000000.000
572,9.012
592,9.303
140,4.122
306,4.883
336,5.327
110,3.285
173,2.824
45,0.811
208,3.340
115,3.437
75,1.267
95,2.838
240,3.830
320,5.101
2048,1000000000.000
2208,1000000000.000
3072,1000000000.000
3200,1000000000.000
1144,1000000000.000
1184,1000000000.000
280,8.079
612,9.609
672,10.602
220,6.477
346,5.541
90,1.501
416,6.597
230,6.671
150,2.425
190,5.524
