data_size(MB),time(ms)
6,0.294
4,0.218
8,0.423
48,1.883
52,2.014
256,9.459
276,10.088
384,13.946
16,0.709
20,1.236
64,2.481
68,4.033
1,0.144
5,0.247
12,0.532
17,0.702
25,1.004
24,0.965
9,0.398
36,1.415
41,1.611
85,3.248
96,3.653
21,0.851
60,3.594
28,1.114
128,4.861
140,5.271
192,7.145
32,1.266
11,0.710
15,0.625
2,0.129
7,0.322
18,0.737
23,0.932
45,1.757
13,0.550
30,1.823
72,2.763
3,0.171
10,0.436
14,0.588
38,1.491
0,0.072
104,3.950
512,18.537
552,19.932
768,27.558
40,2.434
136,5.120
34,1.355
50,1.977
82,3.146
170,6.352
42,1.665
120,7.004
56,2.166
280,10.260
22,1.355
46,1.800
90,3.432
26,1.039
144,5.414
76,2.909
19,0.775
208,7.702
1024,36.713
1104,39.384
1536,54.921
80,4.730
272,9.991
100,3.812
164,6.126
340,12.389
84,4.954
240,13.580
112,4.238
560,20.224
44,2.653
92,3.502
180,6.706
288,10.566
152,5.719
416,15.070
2048,72.764
2208,1000000000.000
3072,1000000000.000
160,9.230
544,19.623
200,7.421
328,11.989
680,24.505
168,9.632
478,26.631
224,8.267
1120,39.902
88,3.360
184,6.847
360,13.093
576,20.753
304,11.049
