data_size(MB),time(ms)
6,0.196
4,0.154
8,0.217
12,0.277
16,0.335
128,2.102
136,2.223
192,3.087
20,0.428
400,10.831
7,0.198
10,0.253
64,1.114
70,1.202
96,1.620
2,0.112
200,5.543
72,1.236
14,0.496
3,0.141
32,0.590
37,0.684
48,0.841
1,0.091
5,0.171
100,2.812
40,0.716
11,0.393
24,0.469
256,4.081
272,4.330
384,6.074
800,21.576
13,0.306
140,2.291
25,0.497
144,2.349
28,0.899
74,1.273
80,1.348
22,0.725
512,8.071
544,8.565
768,12.057
1600,1000000000.000
280,4.462
288,4.591
56,1.644
148,2.424
160,2.653
44,1.391
1024,16.048
1088,1000000000.000
1536,1000000000.000
3200,1000000000.000
560,8.815
576,9.069
112,3.169
296,4.718
320,5.101
88,2.644
