op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,20200.522,25156.854,27.562,1470.000,0.359,1470.000,2940.000,0.000
bn1,6530.193,10650.885,1470.000,1470.000,0.005,1470.005,0.000,2940.000
relu1,3758.579,5620.466,1470.000,1470.000,0.000,1470.000,0.000,2940.000
maxpool,3461.829,15910.887,1470.000,367.500,0.000,1104.000,0.000,1838.000
block-0-0-conv1,11087.905,18631.456,367.500,735.000,1.562,368.000,736.000,738.000
block-0-0-bn1,1551.709,2577.455,735.000,735.000,0.005,368.005,0.000,736.000
block-0-0-conv2,56257.329,88028.772,735.000,1102.500,28.125,735.000,2595.000,2594.000
block-0-0-bn2,3136.259,5226.440,1102.500,1102.500,0.010,736.010,0.000,1472.000
block-0-0-conv3,80499.779,146440.320,1102.500,1837.500,12.500,1470.000,3688.000,0.000
block-0-0-bn3,6250.859,10431.138,1837.500,1837.500,0.020,1470.020,0.000,2940.000
block-0-0-downsample,56334.438,88629.190,1837.500,1470.000,6.250,2940.020,1469.980,1470.000
block-0-0-relu,3761.013,5624.217,1470.000,1470.000,0.000,1470.000,0.000,2940.000
block-0-1-conv1,38851.693,76450.338,1470.000,1837.500,6.250,367.500,0.000,4418.000
block-0-1-bn1,1551.709,2577.455,1837.500,1837.500,0.005,368.005,0.000,736.000
block-0-1-conv2,56257.329,88028.772,1837.500,2205.000,28.125,735.000,2595.000,2594.000
block-0-1-bn2,3136.259,5226.440,2205.000,2205.000,0.010,736.010,0.000,1472.000
block-0-1-conv3,80499.779,146440.320,2205.000,2940.000,12.500,1470.000,3688.000,0.000
block-0-1-bn3,6250.859,10431.138,2940.000,2940.000,0.020,1470.020,0.000,2940.000
block-0-1-downsample,5620.812,45.136,2940.000,1470.000,0.000,1470.000,0.000,1470.000
block-0-1-relu,3761.013,5624.217,1470.000,1470.000,0.000,1470.000,0.000,2940.000
block-0-2-conv1,38851.693,76450.338,1470.000,1837.500,6.250,367.500,0.000,4418.000
block-0-2-bn1,1551.709,2577.455,1837.500,1837.500,0.005,368.005,0.000,736.000
block-0-2-conv2,56257.329,88028.772,1837.500,2205.000,28.125,735.000,2595.000,2594.000
block-0-2-bn2,3136.259,5226.440,2205.000,2205.000,0.010,736.010,0.000,1472.000
block-0-2-conv3,80499.779,146440.320,2205.000,2940.000,12.500,1470.000,3688.000,0.000
block-0-2-bn3,6250.859,10431.138,2940.000,2940.000,0.020,1470.020,0.000,2940.000
block-0-2-downsample,5620.812,45.136,2940.000,1470.000,0.000,1470.000,0.000,1470.000
block-0-2-relu,3761.013,5624.217,1470.000,1470.000,0.000,1470.000,0.000,2940.000
block-1-0-conv1,77610.569,151600.174,1470.000,2205.000,12.500,736.000,736.000,4424.000
block-1-0-bn1,3136.259,5226.440,2205.000,2205.000,0.010,736.010,0.000,1472.000
block-1-0-conv2,149445.789,358821.855,2205.000,1837.500,112.500,368.000,482.000,736.000
block-1-0-bn2,1533.579,2678.463,1837.500,1837.500,0.020,368.020,0.000,736.000
block-1-0-conv3,71901.675,147735.990,1837.500,2205.000,50.000,736.000,1472.000,2818.000
block-1-0-bn3,3015.320,5472.587,2205.000,2205.000,0.039,736.039,0.000,1472.000
block-1-0-downsample,80471.182,232947.620,2205.000,735.000,50.000,1472.039,735.961,2206.000
block-1-0-relu,1881.175,2812.145,735.000,735.000,0.000,736.000,0.000,1472.000
block-1-1-conv1,35102.862,76991.652,735.000,918.750,25.000,183.750,0.000,3434.000
block-1-1-bn1,785.496,1359.261,918.750,918.750,0.010,184.010,0.000,368.000
block-1-1-conv2,51168.090,83595.527,918.750,1102.500,112.500,367.500,1692.500,1692.000
block-1-1-bn2,1533.579,2678.463,1102.500,1102.500,0.020,368.020,0.000,736.000
block-1-1-conv3,71901.675,147735.990,1102.500,1470.000,50.000,736.000,1472.000,2818.000
block-1-1-bn3,3015.320,5472.587,1470.000,1470.000,0.039,736.039,0.000,1472.000
block-1-1-downsample,2814.960,44.585,1470.000,735.000,0.000,736.000,0.000,736.000
block-1-1-relu,1881.175,2812.145,735.000,735.000,0.000,736.000,0.000,1472.000
block-1-2-conv1,35102.862,76991.652,735.000,918.750,25.000,183.750,0.000,3434.000
block-1-2-bn1,785.496,1359.261,918.750,918.750,0.010,184.010,0.000,368.000
block-1-2-conv2,51168.090,83595.527,918.750,1102.500,112.500,367.500,1692.500,1692.000
block-1-2-bn2,1533.579,2678.463,1102.500,1102.500,0.020,368.020,0.000,736.000
block-1-2-conv3,71901.675,147735.990,1102.500,1470.000,50.000,736.000,1472.000,2818.000
block-1-2-bn3,3015.320,5472.587,1470.000,1470.000,0.039,736.039,0.000,1472.000
block-1-2-downsample,2814.960,44.585,1470.000,735.000,0.000,736.000,0.000,736.000
block-1-2-relu,1881.175,2812.145,735.000,735.000,0.000,736.000,0.000,1472.000
block-1-3-conv1,35102.862,76991.652,735.000,918.750,25.000,183.750,0.000,3434.000
block-1-3-bn1,785.496,1359.261,918.750,918.750,0.010,184.010,0.000,368.000
block-1-3-conv2,51168.090,83595.527,918.750,1102.500,112.500,367.500,1692.500,1692.000
block-1-3-bn2,1533.579,2678.463,1102.500,1102.500,0.020,368.020,0.000,736.000
block-1-3-conv3,71901.675,147735.990,1102.500,1470.000,50.000,736.000,1472.000,2818.000
block-1-3-bn3,3015.320,5472.587,1470.000,1470.000,0.039,736.039,0.000,1472.000
block-1-3-downsample,2814.960,44.585,1470.000,735.000,0.000,736.000,0.000,736.000
block-1-3-relu,1881.175,2812.145,735.000,735.000,0.000,736.000,0.000,1472.000
block-2-0-conv1,68695.415,151515.368,735.000,1102.500,50.000,368.000,368.000,4658.000
block-2-0-bn1,1533.579,2678.463,1102.500,1102.500,0.020,368.020,0.000,736.000
block-2-0-conv2,151115.946,413626.301,1102.500,918.750,450.000,183.750,268.250,1270.000
block-2-0-bn2,632.701,1449.610,918.750,918.750,0.039,184.039,0.000,368.000
block-2-0-conv3,77385.447,146159.652,918.750,1102.500,200.000,368.000,938.000,384.000
block-2-0-bn3,1270.003,2935.991,1102.500,1102.500,0.078,368.078,0.000,736.000
block-2-0-downsample,79162.395,257532.936,1102.500,367.500,200.000,735.578,936.422,938.000
block-2-0-relu,942.793,1408.410,367.500,367.500,0.000,368.000,0.000,736.000
block-2-1-conv1,38936.906,77216.755,367.500,459.375,100.000,92.000,0.000,1204.000
block-2-1-bn1,328.275,735.848,459.375,459.375,0.020,92.020,0.000,184.000
block-2-1-conv2,65214.353,113110.648,459.375,551.250,450.000,183.750,2610.250,2610.000
block-2-1-bn2,632.701,1449.610,551.250,551.250,0.039,184.039,0.000,368.000
block-2-1-conv3,77385.447,146159.652,551.250,735.000,200.000,368.000,938.000,384.000
block-2-1-bn3,1270.003,2935.991,735.000,735.000,0.078,368.078,0.000,736.000
