data_size(MB),time(ms)
3,0.136
2,0.106
4,0.158
6,0.169
8,0.207
64,1.387
68,1.453
96,2.023
10,0.248
400,8.118
5,0.152
32,0.714
35,0.772
48,1.033
1,0.080
200,4.098
36,0.788
7,0.189
16,0.376
18,0.417
24,0.542
0,0.070
100,2.100
20,0.473
12,0.290
50,1.128
128,2.624
136,2.819
192,3.914
800,16.193
70,1.511
72,1.528
14,0.341
37,0.812
40,0.870
11,0.272
9,0.234
256,5.201
272,5.546
384,7.783
1600,32.527
140,2.892
144,2.984
28,0.632
74,1.571
80,1.686
22,0.506
41,0.893
23,0.524
15,0.380
19,0.442
512,10.326
544,10.988
768,15.509
3200,65.547
280,5.678
288,5.831
56,1.200
148,3.086
160,3.310
44,0.966
82,1.735
46,1.013
30,0.666
38,0.833
