data_size(MB),time(ms)
6,0.237
4,0.219
8,0.255
12,0.297
16,0.296
128,1.493
136,1.564
192,2.149
20,0.440
400,6.201
7,0.241
10,0.272
64,0.793
70,0.854
96,1.133
2,0.199
200,3.211
72,0.896
14,0.344
3,0.201
32,0.466
37,0.518
48,0.625
1,0.155
5,0.227
100,1.655
40,0.545
11,0.323
24,0.393
256,2.803
272,3.039
384,4.136
800,12.085
13,0.277
140,1.592
25,0.407
144,1.630
28,0.571
74,0.899
80,0.962
22,0.492
512,5.472
544,5.801
768,8.054
1600,22.271
280,3.062
288,3.157
56,0.994
148,1.686
160,1.808
44,0.864
1024,10.667
1088,11.345
1536,15.867
3200,47.952
560,5.962
576,6.119
112,1.835
296,3.213
320,3.453
88,1.523
