op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,10137.018,12915.642,27.562,735.000,0.179,736.000,1472.000,0.000
bn1,3350.117,5722.591,735.000,735.000,0.002,736.003,0.000,1472.000
relu1,1880.964,2812.394,735.000,735.000,0.000,736.000,0.000,1472.000
maxpool,1730.269,7942.249,735.000,183.750,0.000,552.000,0.000,920.000
block-0-0-conv1,3699.956,6635.172,183.750,367.500,0.391,184.000,368.000,368.000
block-0-0-bn1,799.755,1395.851,367.500,367.500,0.002,184.003,0.000,368.000
block-0-0-conv2,130556.760,188661.159,367.500,3123.750,56.250,2940.000,7254.000,7254.000
block-0-0-bn2,12358.030,21655.097,3123.750,3123.750,0.039,2940.039,0.000,5880.000
block-0-0-conv3,149397.688,290289.154,3123.750,918.750,25.000,735.000,0.000,5906.000
block-0-0-bn3,3132.060,5205.156,918.750,918.750,0.010,736.010,0.000,1472.000
block-0-0-downsample,20448.258,24532.294,918.750,735.000,1.562,1472.010,735.990,736.000
block-0-0-relu,1880.783,2813.350,735.000,735.000,0.000,736.000,0.000,1472.000
block-0-1-conv1,10493.160,30019.931,735.000,918.750,1.562,183.750,0.000,2210.000
block-0-1-bn1,799.755,1395.851,918.750,918.750,0.002,184.003,0.000,368.000
block-0-1-conv2,130556.760,188661.159,918.750,3675.000,56.250,2940.000,7254.000,7254.000
block-0-1-bn2,12358.030,21655.097,3675.000,3675.000,0.039,2940.039,0.000,5880.000
block-0-1-conv3,149397.688,290289.154,3675.000,1470.000,25.000,735.000,0.000,5906.000
block-0-1-bn3,3132.060,5205.156,1470.000,1470.000,0.010,736.010,0.000,1472.000
block-0-1-downsample,2811.812,47.560,1470.000,735.000,0.000,736.000,0.000,736.000
block-0-1-relu,1880.783,2813.350,735.000,735.000,0.000,736.000,0.000,1472.000
block-0-2-conv1,10493.160,30019.931,735.000,918.750,1.562,183.750,0.000,2210.000
block-0-2-bn1,799.755,1395.851,918.750,918.750,0.002,184.003,0.000,368.000
block-0-2-conv2,130556.760,188661.159,918.750,3675.000,56.250,2940.000,7254.000,7254.000
block-0-2-bn2,12358.030,21655.097,3675.000,3675.000,0.039,2940.039,0.000,5880.000
block-0-2-conv3,149397.688,290289.154,3675.000,1470.000,25.000,735.000,0.000,5906.000
block-0-2-bn3,3132.060,5205.156,1470.000,1470.000,0.010,736.010,0.000,1472.000
block-0-2-downsample,2811.812,47.560,1470.000,735.000,0.000,736.000,0.000,736.000
block-0-2-relu,1880.783,2813.350,735.000,735.000,0.000,736.000,0.000,1472.000
block-1-0-conv1,21003.337,37794.776,735.000,1102.500,3.125,368.000,368.000,2212.000
block-1-0-bn1,1551.417,2581.035,1102.500,1102.500,0.005,368.005,0.000,736.000
block-1-0-conv2,304843.559,725936.085,1102.500,2205.000,225.000,1470.000,3166.000,0.000
block-1-0-bn2,6017.905,11142.337,2205.000,2205.000,0.078,1470.078,0.000,2940.000
