data_size(MB),time(ms)
3,0.148
2,0.126
4,0.170
6,0.212
8,0.255
64,1.452
68,1.517
96,2.099
10,0.302
400,9.900
5,0.189
32,0.766
35,1.090
48,1.105
1,0.108
200,5.319
36,0.848
7,0.234
16,0.428
18,0.468
24,0.618
0,0.103
100,2.826
20,0.651
12,0.338
50,1.476
128,2.686
136,2.848
192,3.928
800,18.828
70,1.555
72,1.596
14,0.395
37,0.867
40,0.944
11,0.398
9,0.277
256,5.161
272,5.453
384,7.578
1600,36.541
140,2.914
144,3.001
28,0.696
74,1.641
80,1.763
22,0.705
41,0.955
23,0.585
15,0.409
19,0.618
512,9.929
544,10.484
768,14.575
3200,71.865
280,5.641
288,5.779
56,1.287
148,3.091
160,3.313
44,1.326
82,1.803
46,1.075
30,0.727
38,1.151
