data_size(MB),time(ms)
6,0.189
4,0.156
8,0.242
12,0.319
16,0.298
128,1.887
136,2.004
192,2.801
20,0.354
400,5.796
7,0.214
10,0.273
64,1.008
70,1.070
96,1.482
2,0.258
200,2.978
72,1.084
14,0.281
3,0.133
32,0.539
37,0.602
48,0.743
1,0.096
5,0.178
100,1.483
40,0.635
11,0.302
24,0.399
256,3.736
272,3.977
384,5.534
800,11.431
13,0.339
140,2.062
25,0.426
144,2.149
28,0.483
74,1.145
80,1.229
22,0.395
512,7.347
544,7.795
768,10.956
1600,22.680
280,4.049
288,4.171
56,0.882
148,2.179
160,2.339
44,0.696
1024,14.567
1088,15.484
1536,21.778
3200,45.179
560,8.011
576,8.241
112,1.670
296,4.279
320,4.650
88,1.319
