data_size(MB),time(ms)
6,0.245
4,0.186
8,0.276
12,0.351
16,0.435
128,2.699
136,2.858
192,4.013
20,0.595
1,0.145
5,0.211
3,0.165
14,0.419
9,0.297
32,0.790
41,0.965
48,1.115
60,1.629
7,0.258
10,0.321
64,1.436
70,1.552
96,2.074
2,0.131
0,0.103
23,0.573
24,0.599
30,0.854
37,0.851
256,5.321
272,5.644
384,7.962
40,1.072
11,0.402
28,0.674
18,0.471
82,1.794
120,3.101
13,0.371
140,2.949
19,0.490
46,1.045
74,1.621
512,10.633
544,1000000000.000
768,1000000000.000
80,2.000
22,0.649
56,1.285
36,0.837
164,3.434
240,6.312
280,5.812
26,0.627
38,0.876
92,1.994
148,3.101
29,0.691
21,0.525
1024,1000000000.000
1088,1000000000.000
1536,1000000000.000
160,3.826
44,1.259
112,2.411
72,1.600
328,6.791
478,12.115
560,1000000000.000
52,1.166
76,1.674
184,3.829
296,6.145
58,1.293
42,0.952
43,0.973
49,1.099
