op_name,forward-compute,backward-compute,input_size,output_size,weights,activations,fwd_reserved,bwd_reserved
conv1,3615.530,5008.233,9.188,245.000,0.022,246.000,288.000,246.000
bn1,1087.968,1905.006,245.000,245.000,0.002,246.003,0.000,492.000
relu1,628.980,940.505,245.000,245.000,0.000,246.000,0.000,492.000
maxpool,581.799,2449.497,245.000,61.250,0.000,184.500,1.500,308.000
block-0-0-conv1,1100.807,2117.133,61.250,122.500,0.049,62.000,100.000,248.000
block-0-0-bn1,274.404,468.591,122.500,122.500,0.002,62.003,0.000,124.000
block-0-0-conv2,17118.318,12036.753,122.500,1041.250,7.031,980.000,1186.000,980.000
block-0-0-bn2,3999.952,7174.933,1041.250,1041.250,0.039,980.039,0.000,1960.000
block-0-0-conv3,10885.720,42539.592,1041.250,306.250,3.125,245.000,0.000,980.000
block-0-0-bn3,1113.476,1736.809,306.250,306.250,0.010,246.010,0.000,492.000
block-0-0-downsample,5766.964,4581.594,306.250,245.000,0.195,492.010,533.990,246.000
block-0-0-relu,629.327,941.290,245.000,245.000,0.000,246.000,0.000,492.000
block-0-1-conv1,1620.606,6983.093,245.000,306.250,0.195,62.000,100.000,800.000
block-0-1-bn1,274.404,468.591,306.250,306.250,0.002,62.003,0.000,124.000
block-0-1-conv2,17118.318,12036.753,306.250,1225.000,7.031,980.000,1186.000,980.000
block-0-1-bn2,3999.952,7174.933,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-1-conv3,10885.720,42539.592,1225.000,490.000,3.125,245.000,0.000,980.000
block-0-1-bn3,1113.476,1736.809,490.000,490.000,0.010,246.010,0.000,492.000
block-0-1-downsample,939.835,55.984,490.000,245.000,0.000,246.000,0.000,246.000
block-0-1-relu,629.327,941.290,245.000,245.000,0.000,246.000,0.000,492.000
block-0-2-conv1,1620.606,6983.093,245.000,306.250,0.195,62.000,100.000,800.000
block-0-2-bn1,274.404,468.591,306.250,306.250,0.002,62.003,0.000,124.000
block-0-2-conv2,17118.318,12036.753,306.250,1225.000,7.031,980.000,1186.000,980.000
block-0-2-bn2,3999.952,7174.933,1225.000,1225.000,0.039,980.039,0.000,1960.000
block-0-2-conv3,10885.720,42539.592,1225.000,490.000,3.125,245.000,0.000,980.000
block-0-2-bn3,1113.476,1736.809,490.000,490.000,0.010,246.010,0.000,492.000
block-0-2-downsample,939.835,55.984,490.000,245.000,0.000,246.000,0.000,246.000
block-0-2-relu,629.327,941.290,245.000,245.000,0.000,246.000,0.000,492.000
block-1-0-conv1,2744.522,7702.850,245.000,367.500,0.391,122.500,145.500,862.000
block-1-0-bn1,513.479,851.206,367.500,367.500,0.005,122.505,1.495,248.000
block-1-0-conv2,20034.875,33729.240,367.500,735.000,28.125,490.000,496.000,614.000
block-1-0-bn2,1905.634,3610.152,735.000,735.000,0.078,490.078,0.000,980.000
block-1-0-conv3,8654.306,29035.354,735.000,367.500,12.500,122.500,0.000,994.000
block-1-0-bn3,527.433,923.880,367.500,367.500,0.020,122.520,1.480,248.000
block-1-0-downsample,3664.982,7542.722,367.500,122.500,1.562,245.020,158.980,370.000
block-1-0-relu,316.173,472.662,122.500,122.500,0.000,122.500,1.500,248.000
block-1-1-conv1,1152.021,3516.198,122.500,153.125,0.781,30.625,41.375,404.000
block-1-1-bn1,164.816,226.660,153.125,153.125,0.005,30.630,1.370,64.000
block-1-1-conv2,10839.099,9629.840,153.125,612.500,28.125,490.000,568.000,490.000
block-1-1-bn2,1905.634,3610.152,612.500,612.500,0.078,490.078,0.000,980.000
block-1-1-conv3,8654.306,29035.354,612.500,245.000,12.500,122.500,0.000,994.000
block-1-1-bn3,527.433,923.880,245.000,245.000,0.020,122.520,1.480,248.000
block-1-1-downsample,472.453,48.853,245.000,122.500,0.000,122.500,1.500,124.000
block-1-1-relu,316.173,472.662,122.500,122.500,0.000,122.500,1.500,248.000
block-1-2-conv1,1152.021,3516.198,122.500,153.125,0.781,30.625,41.375,404.000
block-1-2-bn1,164.816,226.660,153.125,153.125,0.005,30.630,1.370,64.000
block-1-2-conv2,10839.099,9629.840,153.125,612.500,28.125,490.000,568.000,490.000
block-1-2-bn2,1905.634,3610.152,612.500,612.500,0.078,490.078,0.000,980.000
block-1-2-conv3,8654.306,29035.354,612.500,245.000,12.500,122.500,0.000,994.000
block-1-2-bn3,527.433,923.880,245.000,245.000,0.020,122.520,1.480,248.000
block-1-2-downsample,472.453,48.853,245.000,122.500,0.000,122.500,1.500,124.000
block-1-2-relu,316.173,472.662,122.500,122.500,0.000,122.500,1.500,248.000
block-1-3-conv1,1152.021,3516.198,122.500,153.125,0.781,30.625,41.375,404.000
block-1-3-bn1,164.816,226.660,153.125,153.125,0.005,30.630,1.370,64.000
block-1-3-conv2,10839.099,9629.840,153.125,612.500,28.125,490.000,568.000,490.000
block-1-3-bn2,1905.634,3610.152,612.500,612.500,0.078,490.078,0.000,980.000
block-1-3-conv3,8654.306,29035.354,612.500,245.000,12.500,122.500,0.000,994.000
block-1-3-bn3,527.433,923.880,245.000,245.000,0.020,122.520,1.480,248.000
block-1-3-downsample,472.453,48.853,245.000,122.500,0.000,122.500,1.500,124.000
block-1-3-relu,316.173,472.662,122.500,122.500,0.000,122.500,1.500,248.000
block-2-0-conv1,1892.036,4433.399,122.500,183.750,1.562,62.000,0.000,394.000
block-2-0-bn1,256.526,457.183,183.750,183.750,0.010,62.010,0.000,124.000
block-2-0-conv2,18504.021,39238.118,183.750,367.500,112.500,246.000,306.000,474.000
block-2-0-bn2,840.029,1190.040,367.500,367.500,0.156,246.156,0.000,492.000
block-2-0-conv3,8243.974,18826.724,367.500,183.750,50.000,61.250,0.000,1046.000
block-2-0-bn3,243.644,316.263,183.750,183.750,0.039,62.039,0.000,124.000
block-2-0-downsample,2356.423,4826.891,183.750,61.250,6.250,124.039,81.961,186.000
block-2-0-relu,159.560,238.147,61.250,61.250,0.000,62.000,0.000,124.000
block-2-1-conv1,1033.864,2373.211,61.250,76.562,3.125,15.312,0.000,190.000
block-2-1-bn1,167.189,87.976,76.562,76.562,0.010,16.010,0.000,32.000
