data_size(MB),time(ms)
6,0.169
4,0.158
8,0.207
12,0.290
16,0.376
128,2.624
136,2.819
192,3.914
20,0.473
400,8.118
7,0.189
10,0.248
64,1.387
70,1.511
96,2.023
2,0.106
200,4.098
72,1.528
14,0.341
3,0.136
32,0.714
37,0.812
48,1.033
1,0.080
5,0.152
100,2.100
40,0.870
11,0.272
24,0.542
256,5.201
272,5.546
384,7.783
800,16.193
13,0.313
140,2.892
25,0.565
144,2.984
28,0.632
74,1.571
80,1.686
22,0.506
512,10.326
544,10.988
768,15.509
1600,32.527
280,5.678
288,5.831
56,1.200
148,3.086
160,3.310
44,0.966
1024,20.702
1088,22.035
1536,31.155
3200,65.547
560,11.308
576,11.641
112,2.290
296,5.981
320,6.446
88,1.858
