data_size(MB),time(ms)
30,2.541
20,2.963
40,3.320
60,4.990
80,6.551
320,25.815
360,28.903
480,38.521
100,14.005
400,54.236
50,7.128
160,12.978
190,15.489
240,19.337
10,0.919
200,27.478
70,5.727
15,1.303
35,5.001
105,8.531
120,9.761
5,0.515
25,2.146
55,7.806
7,0.679
27,4.044
62,5.168
2,0.263
22,1.920
57,8.139
37,3.079
47,3.952
17,1.503
640,1000000000.000
720,1000000000.000
960,1000000000.000
800,1000000000.000
380,30.479
140,11.380
210,16.963
110,15.303
125,10.158
45,3.745
115,15.979
75,6.156
95,7.842
1280,1000000000.000
1440,1000000000.000
1920,1000000000.000
1600,1000000000.000
760,1000000000.000
280,22.539
420,33.730
220,30.177
250,20.137
90,7.333
230,31.514
150,12.179
2560,1000000000.000
2880,1000000000.000
3840,1000000000.000
3200,1000000000.000
1520,1000000000.000
560,1000000000.000
840,1000000000.000
440,59.404
500,40.125
180,14.537
460,62.145
300,24.125
