data_size(MB),time(ms)
30,0.576
20,0.369
40,0.673
60,0.979
80,1.289
320,5.020
360,5.632
480,7.490
100,3.264
400,12.518
50,0.851
160,2.529
190,3.016
240,3.793
10,0.242
200,6.356
70,2.289
15,0.304
35,0.609
105,1.709
120,1.932
5,0.175
25,0.484
55,1.793
7,0.213
27,0.487
62,1.036
2,0.133
22,0.426
57,1.907
37,0.670
47,1.555
17,0.364
640,9.973
720,11.200
960,14.925
800,24.575
380,5.943
140,4.502
210,3.331
110,3.530
125,2.033
45,0.788
115,3.694
75,1.223
95,3.031
1280,19.868
1440,22.367
1920,29.770
1600,49.349
760,11.822
280,8.839
420,6.568
220,6.927
250,3.949
90,1.475
230,7.177
150,2.395
2560,1000000000.000
2880,1000000000.000
3840,1000000000.000
3200,1000000000.000
1520,23.573
560,17.420
840,13.069
440,13.653
500,7.809
180,2.848
460,14.291
300,4.706
