data_size(MB),time(ms)
490,10.233
368,7.706
122,2.585
245,5.114
367,7.760
246,6.856
612,1000000000.000
980,1000000000.000
735,1000000000.000
492,12.885
61,1.348
306,6.420
62,1.751
30,0.735
153,3.235
183,3.817
123,3.344
15,0.521
76,2.113
16,0.589
91,1.993
1,0.148
0,0.098
184,3.898
308,6.630
1042,1000000000.000
491,10.206
738,1000000000.000
124,2.610
92,1.990
45,1.035
38,1.145
276,5.759
552,1000000000.000
1010,1000000000.000
614,1000000000.000
138,2.917
307,8.119
69,1.928
68,1.920
31,0.938
34,1.029
262,5.452
520,1000000000.000
996,1000000000.000
261,6.915
554,1000000000.000
130,3.527
77,2.150
275,7.297
65,1.860
140,3.782
22,0.583
32,0.991
736,1000000000.000
1225,1000000000.000
1960,1000000000.000
1470,1000000000.000
2,0.153
1226,1000000000.000
2082,1000000000.000
78,1.693
1102,1000000000.000
2022,1000000000.000
551,1000000000.000
137,3.726
1990,1000000000.000
1104,1000000000.000
1837,1000000000.000
2940,1000000000.000
2205,1000000000.000
1472,1000000000.000
918,1000000000.000
459,9.630
229,4.789
46,1.324
3,0.176
920,1000000000.000
1838,1000000000.000
3124,1000000000.000
1103,1000000000.000
1471,1000000000.000
919,1000000000.000
2208,1000000000.000
460,9.521
230,4.801
114,2.437
828,1000000000.000
1654,1000000000.000
3032,1000000000.000
827,1000000000.000
1840,1000000000.000
413,8.518
414,8.575
206,4.283
104,2.228
782,1000000000.000
1562,1000000000.000
2986,1000000000.000
781,1000000000.000
1656,1000000000.000
390,8.178
196,4.109
195,5.214
97,2.704
2450,1000000000.000
3920,1000000000.000
5,0.211
4166,1000000000.000
2206,1000000000.000
4042,1000000000.000
3982,1000000000.000
1041,1000000000.000
