data_size(MB),time(ms)
30,0.666
20,0.473
40,0.870
60,1.301
80,1.686
320,6.446
360,7.324
480,9.730
100,2.100
400,8.118
50,1.128
160,3.310
190,3.875
240,4.871
10,0.248
200,4.098
70,1.511
15,0.380
35,0.772
105,2.187
120,2.478
5,0.152
25,0.565
55,1.188
7,0.189
27,0.622
62,1.333
2,0.106
22,0.506
57,1.227
37,0.812
47,1.054
17,0.412
640,12.897
720,14.539
960,19.421
800,16.193
380,7.686
140,2.892
210,4.249
110,2.258
125,2.563
45,0.976
115,2.354
75,1.589
95,1.999
1280,25.923
1440,29.259
1920,39.030
1600,32.527
760,15.346
280,5.678
420,8.519
220,4.492
250,5.072
90,1.890
230,4.681
150,3.107
2560,52.196
2880,58.808
3840,79.763
3200,65.547
1520,30.845
560,11.308
840,16.961
440,8.887
500,10.087
180,3.665
460,9.333
300,6.088
