data_size(MB),time(ms)
24,0.393
16,0.296
32,0.466
48,0.625
64,0.793
256,2.803
288,3.157
384,4.136
80,0.962
400,6.201
40,0.545
128,1.493
152,2.508
192,2.149
8,0.255
200,3.211
160,1.808
56,0.994
12,0.297
28,0.571
84,1.008
96,1.133
4,0.219
20,0.440
100,1.655
44,0.864
6,0.237
22,0.492
50,0.906
2,0.199
18,0.316
46,0.862
30,0.442
38,0.749
14,0.344
512,5.472
576,6.119
768,8.054
800,12.085
304,3.315
320,3.453
112,1.835
168,1.935
88,1.523
36,0.500
92,1.536
60,0.747
76,1.342
1024,10.667
1152,11.974
1536,15.867
1600,22.271
608,6.434
640,6.733
224,3.351
336,3.626
176,2.809
72,0.896
184,2.930
120,1.385
2048,21.133
2304,23.674
3072,31.471
3200,47.952
1216,12.658
1280,13.279
448,4.804
672,7.082
352,5.122
144,1.630
368,5.355
240,2.643
