data_size(MB),time(ms)
6,0.245
4,0.186
8,0.276
192,4.013
196,4.045
1024,1000000000.000
1092,1000000000.000
1536,1000000000.000
64,1.436
68,1.504
256,5.321
260,5.368
1,0.145
5,0.211
48,1.115
53,1.191
85,1.855
96,2.074
16,0.435
21,0.525
144,3.016
149,3.117
325,6.718
384,7.962
69,1.530
60,1.629
100,2.164
512,10.633
548,1000000000.000
768,1000000000.000
32,0.790
36,0.837
128,2.699
132,3.383
24,0.599
29,0.691
45,1.013
13,0.371
72,1.600
77,1.695
165,3.421
37,1.037
30,0.854
52,1.166
276,5.692
20,0.514
12,0.351
17,0.449
25,0.608
9,0.297
41,0.965
14,0.480
28,0.674
140,2.949
11,0.330
15,0.411
2,0.131
7,0.258
18,0.471
23,0.573
392,8.112
2048,1000000000.000
2184,1000000000.000
3072,1000000000.000
136,2.858
520,1000000000.000
10,0.321
106,2.277
170,3.531
42,0.952
3,0.165
288,5.964
298,6.149
650,1000000000.000
138,2.917
120,3.101
200,4.153
1096,1000000000.000
264,6.610
58,1.293
90,1.951
26,0.627
154,3.211
330,6.802
74,1.967
104,2.234
552,1000000000.000
40,0.940
34,0.804
50,1.140
82,1.794
56,1.285
280,5.812
22,0.552
46,1.045
784,1000000000.000
4096,1000000000.000
4368,1000000000.000
6144,1000000000.000
272,5.644
1040,1000000000.000
212,4.356
340,7.008
84,1.834
576,1000000000.000
596,1000000000.000
1300,1000000000.000
240,6.312
400,8.372
2192,1000000000.000
528,1000000000.000
116,2.480
180,3.726
308,6.360
660,1000000000.000
148,3.755
208,4.316
1104,1000000000.000
80,1.756
164,3.434
112,2.411
560,1000000000.000
44,1.014
92,1.994
