data_size(MB),time(ms)
3,0.135
2,0.096
4,0.137
6,0.177
8,0.216
64,1.042
68,1.103
96,1.536
10,0.241
400,12.518
5,0.175
32,0.551
35,0.609
48,0.814
1,0.087
200,6.356
36,0.611
7,0.376
16,0.307
18,0.365
24,0.428
0,0.074
100,3.291
20,0.369
12,0.246
50,1.675
128,2.035
136,2.158
192,3.025
800,24.575
70,1.160
72,1.172
14,0.564
37,0.674
40,0.673
11,0.436
9,0.242
256,4.022
272,4.271
384,6.010
1600,49.349
140,2.216
144,2.281
28,1.055
74,1.224
80,1.289
22,0.824
41,0.726
23,0.819
15,0.304
19,0.367
512,7.989
544,8.482
768,11.941
3200,1000000000.000
280,4.394
288,4.518
56,1.888
148,2.342
160,2.529
44,1.543
82,1.339
46,1.548
30,0.576
38,0.671
