data_size(MB),time(ms)
30,0.442
20,0.440
40,0.545
60,0.747
80,0.962
320,3.453
360,3.860
480,5.095
100,1.655
400,6.201
50,0.906
160,1.808
190,3.083
240,2.643
10,0.272
200,3.211
70,0.854
15,0.295
35,0.692
105,1.249
120,1.385
5,0.227
25,0.407
55,1.034
7,0.241
27,0.585
62,0.784
2,0.199
22,0.492
57,1.043
37,0.518
47,0.887
17,0.308
640,6.733
720,7.593
960,10.026
800,12.085
380,4.096
140,1.592
210,2.335
110,1.867
125,1.434
45,0.623
115,1.935
75,0.930
95,1.631
1280,13.279
1440,14.913
1920,19.797
1600,22.271
760,7.963
280,3.062
420,4.507
220,3.554
250,2.744
90,1.059
230,3.719
150,1.697
2560,26.292
2880,29.520
3840,39.248
3200,47.952
1520,15.710
560,5.962
840,8.809
440,6.970
500,5.351
180,1.999
460,7.248
300,3.264
